team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,game_id,match_description,season,competition
KIF,16,1095.5166666666667,118001.04,20293.44,8644.49,3009.25,1241,642,518,81,7ee7da67-3f11-4534-b19a-e3b00081e77a,VFN - KIF : 2023-8-23,2023,1.Div
VFN,14,1095.55,120065.06,20966.8,8756.99,2812.2200000000003,1276,640,545,91,7ee7da67-3f11-4534-b19a-e3b00081e77a,VFN - KIF : 2023-8-23,2023,1.Div
HEL,16,1050.1333333333334,129074.83,23420.73,9918.99,3358.3,1371,898,438,35,dc1b0927-164d-45dd-8841-e64cddcc306d,HEL - HIL : 2023-8-23,2023,1.Div
HIL,16,1050.1,131993.47,21810.78,8123.74,2776.55,1126,512,556,58,dc1b0927-164d-45dd-8841-e64cddcc306d,HEL - HIL : 2023-8-23,2023,1.Div
AAB,15,1114.85,123388.86,20464.92,8903.27,3132.46,1269,702,497,70,65a5f3d4-34b2-4e1d-8e6e-e5186e6dde80,HIK - AAB : 2023-8-24,2023,1.Div
HIK,16,1114.8333333333333,119659.0,18261.91,7205.31,2965.22,1098,534,499,65,65a5f3d4-34b2-4e1d-8e6e-e5186e6dde80,HIK - AAB : 2023-8-24,2023,1.Div
ACH,16,1047.0,115018.42,16834.44,7049.74,2631.91,913,541,355,17,78492bc7-23b3-4704-8c87-49e751eb679d,ACH - NVD : 2023-8-25,2023,1.Div
NVD,16,1046.9666666666667,115579.67,16521.82,7001.110000000001,2720.94,909,438,449,22,78492bc7-23b3-4704-8c87-49e751eb679d,ACH - NVD : 2023-8-25,2023,1.Div
B93,16,991.5833333333334,110773.12,16754.64,6419.7,1535.28,770,345,393,32,f8df5985-8b39-4fa9-a4c7-1a7e5476b040,B93 - VFN : 2023-8-26,2023,1.Div
VFN,16,1059.05,115721.34999999999,16968.44,6488.23,1803.86,866,483,339,44,f8df5985-8b39-4fa9-a4c7-1a7e5476b040,B93 - VFN : 2023-8-26,2023,1.Div
HEL,15,1060.0,115912.69,21299.12,9068.05,3612.17,1434,634,710,90,63ce8a3a-8024-4f43-bff6-770839b36f56,KIF - HEL : 2023-8-26,2023,1.Div
KIF,16,1060.0166666666667,119108.56999999999,20691.28,9496.24,4328.71,1580,912,536,132,63ce8a3a-8024-4f43-bff6-770839b36f56,KIF - HEL : 2023-8-26,2023,1.Div
FRE,16,1079.25,121584.97,20683.8,8894.59,3341.36,1208,577,588,43,673a1151-5080-4333-ba5e-c1eda247fbcd,HBK - FRE : 2023-8-27,2023,1.Div
HBK,15,1079.25,121409.79000000001,19027.7,8903.72,3424.05,1203,711,451,41,673a1151-5080-4333-ba5e-c1eda247fbcd,HBK - FRE : 2023-8-27,2023,1.Div
AAB,16,1080.5333333333333,118868.85,18865.6,7202.8,2355.69,1010,584,365,61,25a37cbb-40c4-4499-8f4d-98de96afc051,AAB - HIL : 2023-8-27,2023,1.Div
HIL,15,1105.4833333333333,118173.72,18255.53,6710.42,2328.31,961,452,438,71,25a37cbb-40c4-4499-8f4d-98de96afc051,AAB - HIL : 2023-8-27,2023,1.Div
HIK,16,1080.3666666666666,123757.95,19038.05,7969.24,3335.1,1212,654,520,38,84339175-3a81-4379-b414-336ded9be810,HIK - SJE : 2023-8-28,2023,1.Div
SJE,16,1080.3666666666666,128187.09,22003.14,9895.12,3978.57,1440,783,604,53,84339175-3a81-4379-b414-336ded9be810,HIK - SJE : 2023-8-28,2023,1.Div
HIL,14,1146.5666666666666,155573.82,32822.79,17435.65,9777.01,2953,1603,1154,196,cf00209b-ff15-4070-9b56-27aff32f2243,HIL - SJE : 2023-9-1,2023,1.Div
SJE,16,1146.5333333333333,155334.03,32950.77,18542.52,10939.56,3125,1579,1362,184,cf00209b-ff15-4070-9b56-27aff32f2243,HIL - SJE : 2023-9-1,2023,1.Div
ACH,16,1058.7333333333333,115938.1,16788.37,6672.66,2247.75,916,510,387,19,cfc87f26-b314-4006-96aa-b34470e91667,ACH - B93 : 2023-9-1,2023,1.Div
