type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,date,home_team,away_team
territorial,36.1,63.9,NaN,5,81-85,33.3,66.7,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,86-90,50.0,50.0,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,15,0-15,40.6,59.4,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,15,16-30,43.5,56.5,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,15,31-45,29.7,70.3,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,15,46-60,32.9,67.1,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,15,61-75,31.8,68.2,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,15,76-90,38.8,61.2,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,45,0-45,37.7,62.3,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,45,46-90,34.2,65.8,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,0-5,38.5,33.3,28.2,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,6-10,52.1,8.3,39.6,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
