type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,league_name,country,date,home_team,away_team
ballPossession,52.8,47.2,NaN,5,86-90,47.3,52.7,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,15,0-15,60.2,39.8,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,15,16-30,52.4,47.6,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,15,31-45,42.2,57.8,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,15,46-60,44.9,55.1,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,15,61-75,59.8,40.2,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,15,76-90,56.1,43.9,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,45,0-45,51.7,48.3,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,45,46-90,54.3,45.7,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,0-5,35.9,64.1,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,6-10,47.8,52.2,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,11-15,34.0,66.0,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,16-20,46.5,53.5,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,21-25,66.1,33.9,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,26-30,39.1,60.9,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,31-35,76.9,23.1,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,36-40,43.9,56.1,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,41-45,59.7,40.3,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,46-50,64.4,35.6,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,51-55,55.0,45.0,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,56-60,58.3,41.7,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,61-65,40.5,59.5,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,66-70,82.4,17.6,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,71-75,51.2,48.8,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,76-80,40.0,60.0,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,81-85,30.2,69.8,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,5,86-90,47.3,52.7,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,15,0-15,39.8,60.2,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
territorial,49.5,50.5,NaN,15,16-30,51.7,48.3,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
